
Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
2800,CS Tumor Size,3,AJCC,"A,C,I,M",Stage/Prognostic Factors,csTumorSize,Tumor,2003,10,,,RH*,RH,RH*,RH*,Records the largest dimension or diameter of the **primary tumor** in millimeters.,Tumor size at diagnosis is an independent prognostic indicator for many tumors and it is used by Collaborative Staging to derive some TNM-T codes.,,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<http://cancerstaging.org>),^13^ for rules and site-specific codes and coding structures.)** ",000-999 (site-specific),"Right justified, zero filled",digits,,,,,,,,,,
2810,CS Extension,3,AJCC,"A,C,I,M",Stage/Prognostic Factors,csExtension,Tumor,2003,10,,,RH*,RH,RH*,RH*,"Identifies contiguous growth (extension) of the primary tumor within the organ of origin or its direct extension into neighboring organs. For certain sites such as ovary, discontinuous metastasis is coded in CS Extension.",Tumor extension at diagnosis is a prognostic indicator used by Collaborative Staging to derive some TNM-T codes and some SEER Summary Stage codes.,,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<http://cancerstaging.org>),^13^ for rules and site-specific codes and coding structures.)** ",000-999 (site-specific),"Right justified, zero filled",digits,"*Note:* For cases diagnosed prior to 2010, this was a 2 character field in CS version 1 which was converted to a 3 character field in CS version 2. Most 2 character codes were converted by adding a zero as the third character. For example, code 05 was usually converted to 050, 10 to 100, 11 to 110, etc. Special codes such as 88 and 99 were usually converted to 888 and 999, respectively.",,,,,,,,,
2820,CS Tumor Size/Ext Eval,1,AJCC,"A,C,I,M",Stage/Prognostic Factors,csTumorSizeExtEval,Tumor,2003,10,,,RH*,RH,RH*,RH*,"Records how the codes for the two items CS Tumor Size [2800] and CS Extension [2810] were determined, based on the diagnostic methods employed.",This item is used by Collaborative Staging to describe whether the staging basis for the TNM-T code is clinical or pathological and to record applicable prefix and suffix descriptors used with TNM staging.,,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<http://cancerstaging.org>),^13^ for rules and site-specific codes and coding structures.)** ",0-9 (site-specific),,digits,,,,,,,,,,
2830,CS Lymph Nodes,3,AJCC,"A,C,I,M",Stage/Prognostic Factors,csLymphNodes,Tumor,2003,10,,,RH*,RH,RH*,RH*,Identifies the regional lymph nodes involved with cancer at the time of diagnosis.,The involvement of specific regional lymph nodes is a prognostic indicator used by Collaborative Staging to derive some TNM-N codes and SEER Summary Stage codes.,,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<http://cancerstaging.org>),^13^ for rules and site-specific codes and coding structures.)** ",000-999 (site-specific),"Right justified, zero filled",digits,"*Note:* For cases prior to 2010, this was a 2 character field in CS version 1 which was converted to a 3 character field in CS version 2. Most 2 character codes were converted by adding a zero as the third character. For example, code 05 was usually converted to 050, 10 to 100, 11 to 110, etc. Special codes such as 88 and 99 were usually converted to 888 and 999 respectively.",,,,,,,,,
2840,CS Lymph Nodes Eval,1,AJCC,"A,C,I,M",Stage/Prognostic Factors,csLymphNodesEval,Tumor,,,,,RH*,RH,RH*,RH*,"Records how the code for CS Lymph Nodes [2830] was determined, based on the diagnostic methods employed.",This data item is used by Collaborative Staging to describe whether the staging basis for the TNM-N code is clinical or pathological and to record applicable prefix and suffix descriptors used with TNM staging.,,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* ([**http://cancerstaging.org**](http://cancerstaging.org)),^13^ for rules and site-specific codes and coding structures.)** ",0-9 (site-specific),,digits,,,,,,,,,,
2850,CS Mets at DX,2,AJCC,"A,C,I,M",Stage/Prognostic Factors,csMetsAtDx,Tumor,2003,10,,,RH*,RH,RH*,RH*,Identifies the distant site(s) of metastatic involvement at time of diagnosis.,"The presence of metastatic disease at diagnosis is an independent prognostic indicator, and it is used by Collaborative Staging to derive TNM-M codes and SEER Summary Stage codes.",,,"**Codes (See the most current version of the** _**Collaborative Stage Data Collection System**_ **(\<http://cancerstaging.org\>),^13^ for rules and site-specific codes and coding structures.)**",00-99 (site-specific),"Right justified, zero filled",digits,,,,,,,,,,
2851,CS Mets at Dx-Bone,1,AJCC,"A,C,I,M",Stage/Prognostic Factors,csMetsAtDxBone,Tumor,2010,12,,,.,RH,RH,RH*,Identifies the presence of distant metastatic involvement of bone at time of diagnosis.,"The presence of metastatic bone disease at diagnosis is an independent prognostic indicator, and it is used by Collaborative Staging to derive TNM-M codes and SEER Summary Stage codes for some sites.",,,"**Codes (See the most current version of the *Collaborative Stage Data Collection System* (<http://cancerstaging.org>),^13^ for rules and site-specific codes and coding structures.)** ","0, 1, 8, 9",,digits,"*Note:* This includes only the bone, not the bone marrow.",,,,,,,,,
1501,Phase I Dose per Fraction,5,CoC,"A,C,I,M",Treatment-1st Course,phase1DosePerFraction,Tumor,2018,18,,,.,R,R*,.,Records the dose per fraction (treatment session) delivered to the patient in the first phase of radiation during the first course of treatment. The unit of measure is centiGray (cGy). This data item is required for CoC-accredited facilities as of  01/01/2018.,Radiation therapy is delivered in one or more phases with identified dose per fraction. It is necessary to capture information describing the dose per fraction to evaluate patterns of radiation oncology care. Outcomes are strongly related to the dose delivered.,,,**Codes**,00000-99999,"Right Justified, zero filled",digits,,,,,,,,,,
1502,Phase I Radiation External Beam Planning Tech,2,CoC,"A,C,I,M",Treatment-1st Course,phase1RadiationExternalBeamTech,Tumor,2018,18,,,.,R,RC,.,Identifies the external beam radiation planning technique used to administer the first phase of radiation treatment during the first course of treatment. This data item is required for CoC-accredited facilities as of 01/01/2018.,"External beam radiation is the most commonly-used radiation modality in North America. In this data item we specified the planning technique for external beam treatment. Identifying the radiation technique is of interest for patterns of care and comparative effectiveness studies.  
  
Historically, the previously-named Regional Treatment Modality data item [1570] utilized codes that were not mutually exclusive. Rather, it included codes describing a mix of modalities, treatment planning techniques, and delivery techniques that are commonly utilized by radiation oncologists. However, every phase of radiation treatment will include a specified modality, planning technique, and delivery technique. The goal of the 2018 implementation of separate phase-specific data items for the recording of Phase I Radiation Treatment Modality [1506] and Phase I Radiation External Beam Planning Tech [1502] is to clarify this information and implement mutually exclusive categories. A separate data item for delivery technique has not been implemented because this information is not consistently reported in end treatment summaries.",,,**Codes**,"00-10, 88, 98, 99",,digits,,,,,,,,,,
1503,Phase I Number of Fractions,3,CoC,"A,C,I,M",Treatment-1st Course,phase1NumberOfFractions,Tumor,2018,18,,,.,R,R*,.,Records the total number of fractions (treatment sessions) delivered to the patient in the first phase of radiation during the first course of treatment. This data item is required for CoC-accredited facilities as of 01/01/2018.,"  
 Radiation therapy is delivered in one or more phases with each phase spread out over a number of fractions (treatment sessions). It is necessary to capture information describing the number of fraction(s) to evaluate patterns of radiation oncology care.",,,**Codes**,000-999,"Right justified, zero filled",digits,,,,,,,,,,
1504,Phase I Radiation Primary Treatment Volume,2,CoC,"A,C,I,M",Treatment-1st Course,phase1RadiationPrimaryTxVolume,Tumor,2018,18,,,.,R,R*,.,Identifies the primary treatment volume or primary anatomic target treated during the first phase of radiation therapy during the first course of treatment. This data item is required for CoC-accredited facilities as of 01/01/2018.,"Radiation treatment is commonly delivered in one or more phases. Typically, in each phase, the primary tumor or tumor bed is treated. This data item should be used to indicate the primary target volume, which might include the primary tumor or tumor bed. If the primary tumor was not targeted, record the other regional or distant site that was targeted. Draining lymph nodes may also be targeted during the first phase. These will be identified in a separate data item Phase I Radiation to Draining Lymph Nodes \[1505\].

   
This data item provides information describing the anatomical structure targeted by radiation therapy during the first phase of radiation treatment and can be used to determine whether the site of the primary diseases was treated with radiation or if other regional or distant sites were targeted. This information is useful in evaluating the patterns of care within a facility and on a regional or national basis. The breakdown and reorganization of the sites will allow for concise reporting.",,,**Codes**,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-99",,text,,,,,,,,,,
1505,Phase I Radiation to Draining Lymph Nodes,2,CoC,"A,C,I,M",Treatment-1st Course,phase1RadiationToDrainingLN,Tumor,2018,18,,,.,R,R*,.,Identifies the draining lymph nodes treated (if any) during the first phase of radiation therapy delivered to the patient during the first course of treatment. This data item is required for CoC-accredited facilities as of 01/01/2018.,"The first phase of radiation treatment commonly targets both the primary tumor (or tumor bed) and draining lymph nodes as a secondary site. This data item should be used to indicate the draining regional lymph nodes, if any, that were irradiated during the first phase of radiation.",,,**Codes**,"00-08, 88, 99",,digits,,,,,,,,,,
1506,Phase I Radiation Treatment Modality,2,CoC,"A,C,I,M",Treatment-1st Course,phase1RadiationTreatmentModality,Tumor,2018,18,,,R,R,R,.,Identifies the radiation modality administered during the first phase of radiation treatment delivered as part of the first course of treatment. This data item is required for CoC-accredited facilities as of 01/01/2018.,"Radiation modality reflects whether a treatment was external beam, brachytherapy, a radioisotope as well as their major subtypes, or a combination of modalities. This data item should be used to indicate the radiation modality administered during the first phase of radiation.   
  
Historically, the previously-named Regional Treatment Modality data item [1570] utilized codes that were not mutually exclusive. Rather, it included codes describing a mix of modalities, treatment planning techniques, and delivery techniques that are commonly utilized by radiation oncologists. However, every phase of radiation treatment will include a specific modality, planning technique, and delivery technique. The goal of the 2018 implementation of separate phase-specific data items for the recording of radiation modality and radiation treatment planning techniques is to clarify this information and implement mutually exclusive categories. A separate data item for delivery technique has not been implemented because this information is not consistently reported in end treatment summaries.",,,**Codes**,"00-16, 98, 99",,digits,,,,,,,,,,
1507,Phase I Total Dose,6,CoC,"A,C,I,M",Treatment-1st Course,phase1TotalDose,Tumor,2018,18,,,.,R,R*,.,Identifies the total radiation dose delivered to the patient in the first phase of radiation treatment during the first course of treatment. The unit of measure is centiGray (cGy). This data item is required for CoC-accredited facilities as of 01/01/2018.,"To evaluate the patterns of radiation care, it is necessary to capture information describing the prescribed dose of Phase I radiation to the patient during the first course of treatment. Outcomes are strongly related to the total dose delivered.",,,**Codes**,000000-999999,"Right Justified, zero filled",digits,,,,,,,,,,
1511,Phase II Dose per Fraction,5,CoC,"A,C,I,M",Treatment-1st Course,phase2DosePerFraction,Tumor,2018,18,,,.,R,R*,.,Records the dose per fraction (treatment session) delivered to the patient in the second phase of radiation during the first course of treatment. The unit of measure is centiGray (cGy). This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,Radiation therapy is delivered in one or more phases with identified dose per fraction. It is necessary to capture information describing the dose per fraction to evaluate patterns of radiation oncology care. Outcomes are strongly related to the dose delivered.,,,**Codes**,00000-99999,,digits,Blanks allowed if no Phase II radiation treatment administered.,,,,,,,,,
1512,Phase II Radiation External Beam Planning Tech,2,CoC,"A,C,I,M",Treatment-1st Course,phase2RadiationExternalBeamTech,Tumor,2018,18,,,.,R,RC,.,Identifies the external beam radiation planning technique used to administer the second phase of radiation treatment during the first course of treatment. This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,"External beam radiation is the most commonly-used radiation modality in North America. In this data item we specified the planning technique for external beam treatment. Identifying the radiation technique is of interest for patterns of care and comparative effectiveness studies.  
  
Historically, the previously-named Rad--Boost RX Modality [3200] utilized codes that were not mutually exclusive. Rather, it included codes describing a mix of modalities, treatment planning techniques, and delivery techniques that are commonly utilized by radiation oncologists. However, every phase of radiation treatment will include a specified modality, planning technique, and delivery technique. The goal of the 2018 implementation of separate phase-specific data items for the recording of Phase II Radiation Treatment Modality [1516] and Phase II Radiation External Beam Planning Tech [1512] is to clarify this information and implement mutually exclusive categories. A separate data item for delivery technique has not been implemented because this information is not consistently reported in end treatment summaries.",,,**Codes**,"00-10, 88, 98, 99",,digits,Blanks allowed if no Phase II radiation treatment administered.,,,,,,,,,
1513,Phase II Number of Fractions,3,CoC,"A,C,I,M",Treatment-1st Course,phase2NumberOfFractions,Tumor,2018,18,,,.,R,R*,.,Records the total number of fractions (treatment sessions) administered to the patient in the second phase of radiation during the first course of treatment. This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,Radiation therapy is delivered in one or more phases with each phase spread out over a number of fractions (treatment sessions). It is necessary to capture information describing the number of fraction(s) to evaluate patterns of radiation oncology care.,,,**Codes**,000-999,"Right justified, zero filled",digits,Blanks allowed if no Phase II radiation treatment administered.,,,,,,,,,
1514,Phase II Radiation Primary Treatment Volume,2,CoC,"A,C,I,M",Treatment-1st Course,phase2RadiationPrimaryTxVolume,Tumor,2018,18,,,.,R,R*,.,Identifies the primary treatment volume or primary anatomic target treated during the second phase of radiation therapy during the first course of treatment. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018.,"Radiation treatment is commonly delivered in one or more phases. Typically, in each phase, the primary tumor or tumor bed is treated. This data item should be used to indicate the primary target volume, which might include the primary tumor or tumor bed. If the primary tumor was not targeted, record the other regional or distant site that was targeted. Draining lymph nodes may also be targeted during the second phase. These will be identified in a separate data item Phase II Radiation to Draining Lymph Nodes \[1515\].

This data item provides information describing the anatomical structure targeted by radiation therapy during the second phase of radiation treatment and can be used to determine whether the site of the primary diseases was treated with radiation or if other regional or distant sites were targeted. This information is useful in evaluating the patterns of care within a facility and on a regional or national basis. The breakdown and reorganization of the sites will allow for concise reporting.",,,**Codes**,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-99",,digits,,,,,,,,,,
1515,Phase II Radiation to Draining Lymph Nodes,2,CoC,"A,C,I,M",Treatment-1st Course,phase2RadiationToDrainingLN,Tumor,2018,18,,,.,R,R*,.,Identifies the draining lymph nodes treated (if any) during the second phase of radiation therapy delivered to the patient during the first course of treatment. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018.,"The second phase of radiation treatment commonly targets both the primary tumor (or tumor bed) and draining lymph nodes as a secondary site. This data item should be used to indicate the draining regional lymph nodes, if any, that were irradiated during the second phase of radiation.",,,**Codes**,"00-08, 88, 99",,digits,Blanks allowed if no Phase II radiation treatment administered.,,,,,,,,,
1516,Phase II Radiation Treatment Modality,2,CoC,"A,C,I,M",Treatment-1st Course,phase2RadiationTreatmentModality,Tumor,2018,18,,,.,R,R,.,Identifies the radiation modality administered during the second phase of radiation treatment delivered during the first course of treatment. This data item is required for CoC-accredited facilities as of 01/01/2018.,"Radiation modality reflects whether a treatment was external beam, brachytherapy, a radioisotope as well as their major subtypes, or a combination of modalities. This data item should be used to indicate the radiation modality administered during the second phase of radiation.   
  
Historically, the previously-named Radiation Treatment Modality data item [1570] utilized codes that were not mutually exclusive. Rather, it included codes describing a mix of modalities, treatment planning techniques, and delivery techniques that are commonly utilized by radiation oncologists. However, every phase of radiation treatment will include a specified modality, planning technique, and delivery technique. The goal of the 2018 implementation of separate phase-specific data items for the recording of radiation modality and radiation treatment planning techniques is to clarify this information and implement mutually exclusive categories. A separate data item for delivery technique has not been implemented because this information is not consistently reported in end treatment summaries.",,,**Codes**,"00-16, 98, 99",,digits,Blanks allowed if no Phase II radiation treatment administered.,,,,,,,,,
1517,Phase II Total Dose,6,CoC,"A,C,I,M",Treatment-1st Course,phase2TotalDose,Tumor,2018,18,,,.,R,R*,.,Identifies the total radiation dose administered in the second phase of radiation treatment delivered to the patient during the first course of treatment. The unit of measure is centiGray (cGy). This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,"To evaluate the patterns of radiation care, it is necessary to capture information describing the prescribed dose of Phase II radiation to the patient during the first course of treatment. Outcomes are strongly related to the total dose delivered.",,,**Codes**,000000-999999,"Right justified, zero filled",digits,Blanks allowed if no Phase II radiation treatment administered.,,,,,,,,,
1521,Phase III Dose per Fraction,5,CoC,"A,C,I,M",Treatment-1st Course,phase3DosePerFraction,Tumor,2018,18,,,.,R,R*,.,Records the dose per fraction (treatment session) delivered to the patient in the third phase of radiation during the first course of treatment. The unit of measure is centiGray (cGy). This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,Radiation therapy is delivered in one or more phases with identified dose per fraction. It is necessary to capture information describing the dose per fraction to evaluate patterns of radiation oncology care. Outcomes are strongly related to the dose delivered.,,,**Codes**,00000-99999,,digits,Blanks allowed if no Phase III radiation treatment administered.,,,,,,,,,
1522,Phase III Radiation External Beam Planning Tech,2,CoC,"A,C,I,M",Treatment-1st Course,phase3RadiationExternalBeamTech,Tumor,2018,18,,,.,R,RC,.,Identifies the external beam radiation planning technique used to administer the third phase of radiation treatment during the first course of treatment. This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,"External beam radiation is the most commonly-used radiation modality in North America. In this data item we specified the planning technique for external beam treatment. Identifying the radiation technique is of interest for patterns of care and comparative effectiveness studies.  
  
Historically, the previously-name Regional Treatment Modality data item [1570] utilized codes that were not mutually exclusive. Rather, it included codes describing a mix of modalities, treatment planning techniques, and delivery techniques that are commonly utilized by radiation oncologists. However, every phase of radiation treatment will include a specified modality, planning technique, and delivery technique. The goal of the 2018 implementation of separate phase-specific data items for the recording of Phase III Radiation Treatment Modality [1526] and Phase III Radiation External Beam Planning Tech [1522] is to clarify this information and implement mutually exclusive categories. A separate data item for delivery technique has not been implemented because this information is not consistently reported in end treatment summaries.",,,**Codes**,"00-10, 88, 98, 99",,digits,Blanks allowed if no Phase III radiation treatment administered.,,,,,,,,,
1523,Phase III Number of Fractions,3,CoC,"A,C,I,M",Treatment-1st Course,phase3NumberOfFractions,Tumor,2018,18,,,.,R,R*,.,Records the total number of fractions (treatment sessions) delivered to the patient in the third phase of radiation during the first course of treatment. This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,Radiation therapy is delivered in one or more phases with each phase spread out over a number of fractions (treatment sessions). It is necessary to capture information describing the number of fraction(s) to evaluate patterns of radiation oncology care.,,,**Codes**,000-999,"Right-justified, zero-filled",digits,Blanks allowed if no Phase III radiation treatment administered.,,,,,,,,,
1524,Phase III Radiation Primary Treatment Volume,2,CoC,"A,C,I,M",Treatment-1st Course,phase3RadiationPrimaryTxVolume,Tumor,2018,18,,,.,R,R*,.,Identifies the primary treatment volume or primary anatomic target treated during the third phase of radiation therapy during the first course of treatment. This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,"Radiation treatment is commonly delivered in one or more phases. Typically, in each phase, the primary tumor or tumor bed is treated. This data item should be used to indicate the primary target volume, which might include the primary tumor or tumor bed. If the primary tumor was not targeted, record the other regional or distant site that was targeted. Draining lymph nodes may also be targeted during the first phase. These will be identified in a separate data item Phase III Radiation to Draining Lymph Nodes \[1525\].  
   
This data item provides information describing the anatomical structure targeted by radiation therapy during the third phase of radiation treatment and can be used to determine whether the site of the primary diseases was treated with radiation or if other regional or distant sites were targeted. This information is useful in evaluating the patterns of care within a facility and on a regional or national basis. The breakdown and reorganization of the sites will allow for concise reporting.",,,**Codes**,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-96, 98-99",,digits,,,,,,,,,,
1525,Phase III Radiation to Draining Lymph Nodes,2,CoC,"A,C,I,M",Treatment-1st Course,phase3RadiationToDrainingLN,Tumor,2018,18,,,.,R,R*,.,Identifies the draining lymph nodes treated (if any) during the third phase of radiation therapy delivered to the patient during the first course of treatment. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018.,"The third phase of radiation treatment commonly targets both the primary tumor (or tumor bed) and draining lymph nodes as a secondary site. This data item should be used to indicate the draining regional lymph nodes, if any, that were irradiated during the third phase of radiation.",,,**Codes**,"00-08, 88, 99",,digits,Blanks allowed if no Phase III radiation treatment administered.,,,,,,,,,
1526,Phase III Radiation Treatment Modality,2,CoC,"A,C,I,M",Treatment-1st Course,phase3RadiationTreatmentModality,Tumor,2018,18,,,.,R,R,.,"Radiation modality reflects whether a treatment was external beam, brachytherapy, a radioisotope as well as their major subtypes, or a combination of modalities. This data item should be used to indicate the radiation modality administered during the third phase of radiation. This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.","Radiation modality reflects whether a treatment was external beam, brachytherapy, a radioisotope as well as their major subtypes, or a combination of modalities. This data item should be used to indicate the radiation modality administered during the third phase of radiation.   
  
Historically, the previously-name Radiation Treatment Modality data item [1570] utilized codes that were not mutually exclusive. Rather, it included codes describing a mix of modalities, treatment planning techniques, and delivery techniques that are commonly utilized by radiation oncologists. However, every phase of radiation treatment will include a specified modality, planning technique, and delivery technique. The goal of the 2018 implementation of separate phase-specific data items for the recording of radiation modality and radiation treatment planning techniques is to clarify this information and implement mutually exclusive categories. A separate data item for delivery technique has not been implemented because this information is not consistently reported in end treatment summaries.",,,**Codes**,"00-16, 98, 99",,digits,Blanks allowed if no Phase III radiation treatment administered.,,,,,,,,,
1527,Phase III Total Dose,6,CoC,"A,C,I,M",Treatment-1st Course,phase3TotalDose,Tumor,2018,18,,,.,R,R*,.,Identifies the total radiation dose delivered during the third phase of radiation treatment delivered to the patient during the first course of treatment. The unit of measure is centiGray (cGy). This data item is required for CoC-accredited facilities for cases diagnosed as of 01/01/2018.,"To evaluate the patterns of radiation care, it is necessary to capture information describing the prescribed dose of Phase III radiation to the patient during the first course of treatment. Outcomes are strongly related to the total dose delivered.",,,**Codes**,000000-999999,"right justified, zero filled",digits,Blanks allowed if no Phase III radiation treatment administered.,,,,,,,,,
1531,Radiation Treatment Discontinued Early,2,CoC,"A,C,I,M",Treatment-1st Course,radiationTxDiscontinuedEarly,Tumor,2018,18,,,.,R,R*,.,This field is used to identify patients/tumors whose radiation treatment course was discontinued earlier than initially planned. That is the patients/tumors received fewer treatment fractions (sessions) than originally intended by the treating physician. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018 and later.,"Currently, the total dose of radiation reflects what was actually delivered rather than what was intended. When a patient doesn’t complete a radiation course as initially intended this is typically commented on within the radiation end of treatment summary. By flagging these patients within the cancer registry database, these patients can be excluded from analyses attempting to describe adherence to radiation treatment guidelines or patterns of care analyses.",,,**Codes**,"00-07, 99",,digits,,,,,,,,,,
1532,Number of Phases of Rad Treatment to this Volume,2,CoC,"A,C,I,M",Treatment-1st Course,numberPhasesOfRadTxToVolume,Tumor,2018,18,,,.,R,R*,.,"Identifies the total number of phases administered to the patient during the first course of treatment. A “phase” consists of one or more consecutive treatments delivered to the same anatomic volume with no change in the treatment technique. Although the majority of courses of radiation therapy are completed in one or two phases (historically, the “regional” and “boost” treatments) there are occasions in which three or more phases are used, most typically with head and neck malignancies. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018 and later.",The number of phases of radiation treatment is used to evaluate patterns of radiation therapy and the treatment schedule.,,,**Codes**,"00, 01, 02, 03, 04, 99 ","right justified, zero-filled",digits,,,,,,,,,,
1533,Total Dose,6,CoC,"A,C,I,M",Treatment-1st Course,totalDose,Tumor,2018,18,,,.,R,R*,.,Identifies the total radiation dose administered to the patient across all phases during the first course of treatment. The unit of measure is centiGray (cGy). This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018 and later.,,"To evaluate the patterns of radiation care, it is necessary to capture information describing the prescribed total dose of radiation during the first course of treatment. Outcomes are strongly related to the dose delivered.",,**Codes**,000000-999999,"right justified, zero filled",digits,,,,,,,,,,
1550,Rad--Location of RX,1,CoC,"A,C,I,M",Treatment-1st Course,radLocationOfRx,Tumor,,,,,.,R,.,.,Identifies the location of the facility where radiation treatment was administered during first course of treatment. See also RX Summ--Radiation \[1360\].,,,,**Codes**,"0-4, 8, 9",,digits,,,,,,,,,,
1570,Rad--Regional RX Modality,2,CoC,"A,C,I,M",Treatment-1st Course,radRegionalRxModality,Tumor,,,,,RH,.,.,.,Records the dominant modality of radiation therapy used to deliver the clinically most significant regional dose to the primary volume of interest during the first course of treatment.,"Radiation treatment frequently is delivered in two or more phases that can be summarized as regional and boost treatments. To evaluate patterns of radiation oncology care, it is necessary to know which radiation resources were employed in the delivery of therapy. For outcomes analysis, the modalities used for each of these phases can be very important.",,,**Codes**,"00, 20-32, 40-43, 50-55, 60-62, 80, 85, 98, 99","Right justified, zero filled",digits,"*Note:* For tumors diagnosed prior to January 1, 2003, the codes reported in this data item describe any radiation administered to the patient as part or all of the first course of therapy.   
  
 \*Codes 80 and 85 describe specific converted descriptions of radiation therapy coded according to *Volume II ROADS*, and *DAM* rules and should only be used to record regional radiation for tumors diagnosed prior to January 1, 2003. 

",,,,,,,,,
1632,Neoadjuvant Therapy,1,SEER,"A,C,I,M",Treatment-1st Course,neoadjuvantTherapy,Tumor,2021,21,,,.,.,R,.,This data item records whether the patient had neoadjuvant therapy prior to planned definitive surgical resection of the primary site.,"This data items provides information related to the quality of care and describes whether a patient had neoadjuvant therapy.   
  
For the purposes of this data item, neoadjuvant therapy is defined as systemic treatment (chemotherapy, endocrine / hormone therapy, targeted therapy, immunotherapy, or biological therapy) and/or radiation therapy before intended or performed surgical resection to improve local therapy and long term outcomes.",,,**Codes**,"0-3, 9",,text,,,,,,,,,,
1633,Neoadjuvant Therapy-Clinical Response,1,SEER,"A,C,I,M",Treatment-1st Course,neoadjuvTherapyClinicalResponse,Tumor,2021,21,,,.,.,R,.,This data item records the clinical outcomes of neoadjuvant therapy prior to planned surgical resection.,"This data items provides information related to the quality of care and describes the clinical outcomes after neoadjuvant therapy. This data item provides prognostically relevant information by quantifying the extent of therapy-induced tumor regression. Therefore, this item can provide a better risk stratification for patients who received neoadjuvant therapy. In addition, this data item can contribute to assessments of cancer care quality.

This data item records the clinical outcomes of neoadjuvant therapy as determined by the managing physician (oncologic surgeon, radiation oncologist or medical oncologist).

For the purposes of this data item, neoadjuvant therapy is defined as systemic treatment (chemotherapy, endocrine / hormone therapy, targeted therapy, immunotherapy, or biological therapy) and/or radiation therapy given to shrink a tumor before surgical resection.",,,**Codes**,0-9,,text,,,,,,,,,,Revised Code 7
1634,Neoadjuvant Therapy-Treatment Effect,1,SEER,"A,C,I,M",Treatment-1st Course,neoadjuvTherapyTreatmentEffect,Tumor,2021,21,,,.,.,R,.,"This data item records the pathologist’s statement of neoadjuvant treatment effect on the primary tumor from the surgical pathology report. Whenever treatment effect definitions are recommended by or available in CAP Cancer Protocols, this data item follows the CAP definitions indicating absent or present effect. When specific CAP definitions are not available, registrars should use treatment effect general use categories.","This data item provides information related to the quality of care and describes the pathological outcomes after neoadjuvant therapy. This data item provides prognostically relevant information by quantifying the extent of therapy-induced tumor regression. Therefore, this item can provide a better risk stratification for patients who received neoadjuvant therapy. In addition, this data item can contribute to assessments of cancer care quality.",,,**Codes**,"0-4, 6, 7, 9",,text,,,,,,,,,,
1639,RX Summ--Systemic/Sur Seq,1,CoC,"A,C,I,M",Treatment-1st Course,rxSummSystemicSurSeq,Tumor,2006,11,,,R,R,R,.,"Records the sequencing of systemic therapy (RX Summ-Chemo [1390], RX Summ-Hormone [1400], RX Summ-BRM [1410], and RX Summ-Transplnt/Endocr [3250]) and surgical procedures given as part of the first course of treatment. See also RX Summ--Surg Prim Site [1290], RX Summ--Scope LN Surg [1292], and RX Summ--Surg Oth Reg/Dis [1294].",The sequence of systemic therapy and surgical procedures given as part of the first course of treatment cannot always be determined using the date on which each modality was started or performed. This data item can be used to more precisely evaluate the time of delivery of treatment to the patient.,,,**Codes** ,"0, 2-7, 9",,digits,,,,,,,,,,
1640,RX Summ--Surgery Type,2,SEER,"A,C,I,M",Treatment-1st Course,rxSummSurgeryType,Tumor,2011,12.2,,,.,.,RH,.,"Field for pre-1996 surgery codes for CoC and pre-1998 surgery codes for SEER. Surgery codes used 1998 and later can be backward converted into the older codes and the converted value can be stored in this field. See Chapter V, Unresolved Issues, for discussion of CoC/SEER differences in coding treatment.",,,,,00-99 (site-specific),"Right justified, zero filled",digits,,,,,,,,,,
